title, post
Construction of several overhead bridges delayed,KATHMANDU NOVEMBER 11 Bridges being constructed at various locations of Koteshwor-Kalanki section of the Ring Road are yet to be completed. Construction of bridges started at three locations of the road section two years back. The government had begun construction of overhead bridges at several locations of the road section with the support of the Government of China. Construction work had started on total sixoverhead bridges on the road section. Of them construction of three bridges has been completed. Construction of the remaining bridges is yet to be completed due to problem with design of structures Kathmandu Ring Road Project Chief Arjun Suwal said. According to him although three months are left for completion of the deadline the contractors were more likely to miss the deadline. A Chinese construction company had constructed bridges at three places. The company built bridges at Koteshwor Bagdol and Gwarko. The Department of Road had started construction of bridges at additional locations at a gap of one kilometre on this section of the Ring Road staging that the three bridges constructed by the company were not sufficient. Construction of overhead bridges has been completed at Balkumari Satdobato and Ekantakuna. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Four persons arrested on extortion charge,KATHMANDU NOVEMBER 11 Police have arrested three swindlers who threatened businessmen in the capital saying they were members of the outlawed Communist Party of Nepal. Police said they had asked for a total of Rs 30 million from the businessmen over telephone and threatened to inflict physical harm if they didn’t comply with their demands. Those arrested have been identified as Bintos Silwal (Sunar) 33 of Kakani Municipality in Nuwakot Ramdal Shrestha (Atal) 31 of Sunapati Municipality in Ramechhap Tirtha Man Tamang 51 of Timal Municipality in Kavre and Nandu Raj Acharya 42 of Bharatpur Municipality in Chitwan. They had been introducing themselves as district secretaries of various districts of the outlawed CPN. They also threatened businessmen of taking ‘physical action’ against them if they refused to give the amount demanded. Police had been receiving complaints about threats being issued to businessmen. Metropolitan Police Circle Minbhawan had after days of investigation arrested them yesterday. The Kathmandu District Court has remanded them to three-day police custody for further investigation today. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Postal service needs to be revamped says Minister Gurung,KATHMANDU NOVEMBER 11 Minister for Communications and Information Technology Parvat Gurung thinks it is necessary to make postal service timely. Speaking at an interaction with office-bearers of the Postal Service Department at the ministry today Minister Gurung pointed out the need for creative approach to take the postal service ahead as per the changing time. Stating that necessary discussion would be held with bodies concerned to make the postal service reliable and trust-worthy he urged the office-bearers to bring an action plan with new thought. The communications minister directed the department to make its service accessible smooth and reliable. He said demand for postal service was increasing even in developed countries. He added that the government was committed to revising necessary act law policy and working procedure expressing commitment that cargo service run by the private sector would also be made systematic. Secretary of the ministry Hari Prasad Basyal said the department should move ahead strengthening the postal service. Director General of the department Abha Shrestha Karna briefed Minister Gurung about the Department’s action plan. Minister Gurung took stock of the Office of the Controller of Certification and Security Printing Centre of the department. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Kathmandu valley reports 1261 fresh Covid-19 cases on Wednesday,KATHMANDU: A total of 1261 new cases of coronavirus infection were reported in the three districts of Kathmandu Valley on Wednesday. Of the total infections 528 are females and 733 are males. In the last 24 hours 976 cases were recorded from Kathmandu district while Lalitpur and Bhaktapur reported 204 and 81 cases respectively. The number of active cases in Kathmandu is 17164 while that of Lalitpur and Bhaktapur are 2506 and 1275 respectively. Meanwhile 26 more fatalities from the disease have taken the total death-toll to 1174 in the country. Today the nationwide infection count has advanced to 202329 with 2569 new cases.  
SC’s constitutional bench to conduct hearing on NCP leader Gautam’s case today,KATHMANDU: The constitutional bench of Supreme Court will conduct the hearing on two writ petitions filed against nomination of vice-chair of the ruling Nepal Communist Party (NCP) Bamdev Gautam to the National Assembly today. Media expert at the apex court Kishor Paudel told THT Online that the SC constitutional bench will be conducting the hearing on the case from today. Paudel informed that the constitutional bench includes judges Deepak Kumar Karki Hari Krishna Karki Bishwambhar Prasad Shrestha and Ishwor Khatiwada led by Chief Justice Cholendra Shumsher JB Rana. Gautam who had lost the House of Representatives election in the last general election from his home constituency of Bardiya-1 was nominated by the President to the Upper House of the parliament on the recommendation of the government on September 17. Senior advocates Dinesh Tripathi and Badriraj Bhatta have argued that as per constitutional provision a person who was defeated in the House of Representatives election could not become a minister during the current tenure of the HoR and hence Gautam’s nomination to the Upper House of the Parliament was against the spirit of the constitution. A single bench of the SC had earlier ordered the government not to assign extra constitutional responsibility to Gautam and to maintain status quo on the issue till the court decides whether or not there is a need for issuing an interim order in the case. Joint Attorney Sanjeeb Raj Regmi defended the government’s decision to nominate Gautam to the Upper House arguing that the National Assembly Election Act had not disqualified Gautam from being nominated to the Upper House. Former attorney general Yubaraj Sangraula senior advocate Raghav Lal Baidya and former president of Nepal Bar Association Sher Bahadur KC pleaded on behalf of Gautam.  
World Tourism Network confers ‘Tourism Heroes Award’ to Nepal’s Deepak Raj Joshi,KATHMANDU: Nepal Tourism Board’s former Chief Executive Officer (CEO) Deepak Raj Joshi has been awarded with ‘Tourism Heroes Award’ by the World Tourism Network on Tuesday. With this recognition Joshi becomes the first recipient from the South Asian region and only Nepali to be enlisted as a member of the “International Hall of Tourism Heroes”. Joshi was honoured in recognition of his continuous support and contribution towards sustainable development of hospitality sector showing positive impact in the upliftment of tourism sector hit hard by the ongoing COVID-19 pandemic. After receiving the award Joshi said “The international recognition has given me more impetus to dedicate myself for the upliftment and development of hospitality sector as a whole.”  
13596 households to get safe houses,KATHMANDU NOVEMBER 11 The Government of Nepal has selected as many as 13596 beneficiaries under safe citizen housing programme said a source at the Ministry of Urban Development. Of those selected beneficiaries grant agreements were reached with 11879 households till mid-October. According to a quarterly proactive disclosure made by the MoUD last week construction of houses belonging to 3269 beneficiaries who concluded the mandatory grant agreements have been completed. “The Ministry of Finance has already allocated the budget to local levels for the implementation of the safe citizen housing programme on recommendation of the MoUD” read the report. According to the MoUD the programme is executed in line with Safe Citizen Housing Implementation Procedure-2019 to ensure arrangement of appropriate safe and environment-friendly housing for people living below the poverty line and those who have been rendered homeless due to various types of natural disasters. This requires the government to identify and select beneficiaries on the basis of the recommendation letter of the concerned local level and district disaster management committee. Only the families living in a hut or house with thatched roof which is vulnerable to fire rain and storm will benefit from this scheme. “Priority shall be attached to families with senior citizens orphans single women and persons with disabilities. Any joint family is entitled to grant amount for only one housing unit” reads the procedure. The procedure has empowered the Safe Citizen Housing Coordination Committee led by a directly elected member of the House of Representatives to select beneficiaries from among the families identified by the Federal Level Project Implementation Unit in the concerned constituency. The FLPIU will enter into a grant agreement with the selected beneficiaries for the purpose of construction of safe housing. The grant amount is provided through a banking channel in two instalments 60 per cent and 40 per cent. After receiving the first tranche of the grant amount the concerned beneficiary shall proceed with housing construction work. The last instalment shall be released once a report from the concerned local level and technical committee confirm that the first instalment was properly used. Amount exceeding the grant for construction shall be borne by the concerned family. If the grant amount is not found to have been used for the purpose for which it was provided the FLPIU shall recover the cash from the concerned beneficiary as a government due. Beneficiaries of the post-earthquake reconstruction and vulnerable settlement relocation among other schemes shall not be entitled to the grant referred to in the procedure. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Kathmandu valley logs 1420 additional Covid-19 cases on Tuesday,KATHMANDU: A total of 1420 new cases of coronavirus infection were reported in the three districts of Kathmandu Valley on Tuesday. Of the total infections 603 are females and 817 are males. In the last 24 hours 1141 cases were recorded from Kathmandu district while Lalitpur and Bhaktapur reported 193 and 86 cases respectively. The number of active cases in Kathmandu is 16686 while that of Lalitpur and Bhaktapur are 2350 and 1224 respectively. Meanwhile 22 more fatalities from the disease have taken the total death-toll to 1148 in the country. Today the nationwide infection count has advanced to 199760 with 2736 new cases.  
22 more fatalities registered today Covid-19 death-toll advances to 1148,KATHMANDU: Twenty-two more fatalities were reported in the last 24 hours with which Nepal’s Covid-19 death-tally has now advanced to 1148. 2736 fresh coronavirus cases as reported today took the nationwide coronavirus case count to 199760. Over 1.2 million deaths from the disease have been reported worldwide while the global case tally is recorded over 50 million. On Monday 18 individuals diagnosed with Covid-19 succumbed to the disease taking the death toll to 1126.  
Govt asked to stick to ‘Federal Democratic Republic’,KATHMANDU NOVEMBER 9 The State Affairs and Good Governance Committee of the Parliament has directed the government not to implement the decision to remove the phrase ‘Federal Democratic Republic’ used ahead ‘of Nepal’ for correspondence and speeches. The cabinet had on September 27 decided to remove the ‘Federal Democratic Republic’ and use only the word ‘Nepal’ while officially using the name of the country. After the decision the Ministry of Federal Affairs and General Administration had on October 20 already circulated notice to all 753 local governments to implement the government order. The government’s decision was criticised as many saw the decision as aiming to derail the country from the federal democratic republican system as enshrined in the 2015 constitution. The committee had thus summoned Prime Minister KP Sharma Oli to discuss the government’s decision. However Foreign Minister Pradeep Gyawali who was present at the meeting on behalf of the PM defended the decision saying the move was to bring ‘unity’ on the country’s name and to ease communication. Answering the committee Gyawali said “ Our country’s official name is Nepal. There is no need to add any other adjective.” He also said the government did not have any bad intention while taking the decision. The committee’s official informed that Gyawali had stressed that the government had never adopted ‘Federal Democratic Republic of Nepal’ as the official name. “The constitution also does not mention the country’s name to be so” Gyawali said. After the discussion the committee’s Chair Sashi Shrestha said “The Cabinet decision of September 27 itself proves that the country’s official name is Federal Democratic Republic of Nepal. Thus it has asked the government not to implement the decision immediately.” She also told the government that if it wanted to change the name then this should be tabled at the federal Parliament. Constitution expert Pankaj Kumar Karna said that although it was true that country’s official name did not have the words ‘Federal Democratic Republic’ the way in which the government took the decision was incorrect. He further said the decision also drew flak because many lawmakers of the ruling party had often been heard speaking unfavourably about federalism in the country. Karna said “This provoked suspicion that the government was in the process of losing all the achievements attained after a long struggle.” He added “Had the government tabled the issue in the Parliament and heard the view of all the representatives it would have been much better.” This decision was only about the name not about the form of governance he said adding that efforts to connect it to forms of governance were inappropriate. “The political system (of the federal democratic republic) can be changed only with an amendment to the constitution backed by twothirds majority lawmakers” he said. Ruling Nepal Communist Party (NCP) lawmakers Bijay Subba and Nawaraj Silwal forwarded a note of dissent asking the committee not to doubt that the government would backtrack on federalism. A version of this article appears in print on November 10 2020 of The Himalayan Times.  
Action Against Hunger Nepal donates KN95 masks worth Rs 5.8mln to Health Ministry,KATHMANDU: An international non-government organisation Action Against Hunger | Action Contre la Faim (ACF) Nepal has donated KN95 masks worth around Rs 5.8 million to the Ministry of Health and Population in Kathmandu on Monday. Issuing a press statement today ACF Nepal said the masks will be distributed among frontline health workers to combat the ongoing coronavirus (COVID-19) pandemic in the country. Action Against Hunger Nepal’s Country Director Philippe Hamel handed over the items to Dr Dipendra Raman Singh Director General of the Department of Health Services (DoHS) on the premises of DoHS in Teku this afternoon. Dr Ramesh Kharel Director of the Management Division under DoHS thanked ACF Nepal for their support to the government in COVID-19 response. On the occasion government delegates along with representatives from ACF Nepal were present.  
Kathmandu valley logs 1428 additional Covid-19 cases on Monday,KATHMANDU: A total of 1428 new cases of coronavirus infection were reported in the three districts of Kathmandu Valley on Monday. Of the total infections 630 are females and 798 are males. In the last 24 hours 1136 cases were recorded from Kathmandu district while Lalitpur and Bhaktapur reported 201 and 91 cases respectively. The number of active cases in Kathmandu is 15982 while that of Lalitpur and Bhaktapur are 2259 and 1143 respectively. Meanwhile 18 more fatalities from the disease have taken the total death-toll to 1126 in the country. Today the nationwide infection count has advanced to 197024 with 2571 new cases.  
